Verstappen vs Hamilton,,,,,,Pit Stops,,,,,,Temperatures,,,,,,,,,
raceId,driver,lap,position,time,,raceId,driver,stop,lap,stop time,,trackTemp,lap,,,,,,,,
abudhabi,ham,1,1,01:31.7,,,,,,,,26,1,,,,,,,,
abudhabi,ham,2,1,01:28.8,,abudhabi,ver,1,13,21.152,,26,2,,,,,,,,
abudhabi,ham,3,1,01:28.6,,abudhabi,ham,1,14,21.595,,26,3,,,,,,,,
abudhabi,ham,4,1,01:28.8,,abudhabi,ver,2,36,21.871,,26,4,,,,,,,,
abudhabi,ham,5,1,01:28.6,,abudhabi,ver,3,53,21.453,,26,5,,,,,,,,
abudhabi,ham,6,1,01:28.6,,,,,,,,26,6,,,,,,,,
abudhabi,ham,7,1,01:28.5,,,,,,,,26,7,,,,,,,,
abudhabi,ham,8,1,01:28.6,,,,,,,,26,8,,,,,,,,
abudhabi,ham,9,1,01:28.4,,,,,,,,26,9,,,,,,,,
abudhabi,ham,10,1,01:28.2,,,,,,,,26,10,,,,,,,,
abudhabi,ham,11,1,01:28.1,,,,,,,,26,11,,,,,,,,
abudhabi,ham,12,1,01:28.6,,,,,,,,26,12,,,,,,,,
abudhabi,ham,13,1,01:28.3,,,,,,,,26,13,,,,,,,,
abudhabi,ham,14,1,01:30.3,,,,,,,,26,14,,,,,,,,
abudhabi,ham,15,2,01:48.8,,,,,,,,26,15,,,,,,,,
abudhabi,ham,16,2,01:27.8,,,,,,,,26,16,,,,,,,,
abudhabi,ham,17,2,01:27.8,,,,,,,,26,17,,,,,,,,
abudhabi,ham,18,2,01:27.9,,,,,,,,26,18,,,,,,,,
abudhabi,ham,19,2,01:28.2,,,,,,,,26,19,,,,,,,,
abudhabi,ham,20,2,01:33.4,,,,,,,,26,20,,,,,,,,
abudhabi,ham,21,1,01:30.5,,,,,,,,27,21,,,,,,,,
abudhabi,ham,22,1,01:28.0,,,,,,,,27,22,,,,,,,,
abudhabi,ham,23,1,01:27.7,,,,,,,,27,23,,,,,,,,
abudhabi,ham,24,1,01:28.0,,,,,,,,27,24,,,,,,,,
abudhabi,ham,25,1,01:27.9,,,,,,,,27,25,,,,,,,,
abudhabi,ham,26,1,01:28.1,,,,,,,,27,26,,,,,,,,
abudhabi,ham,27,1,01:28.0,,,,,,,,27,27,,,,,,,,
abudhabi,ham,28,1,01:28.1,,,,,,,,27,28,,,,,,,,
abudhabi,ham,29,1,01:27.5,,,,,,,,27,29,,,,,,,,
abudhabi,ham,30,1,01:27.5,,,,,,,,29,30,,,,,,,,
abudhabi,ham,31,1,01:27.5,,,,,,,,29,31,,,,,,,,
abudhabi,ham,32,1,01:27.4,,,,,,,,29,32,,,,,,,,
abudhabi,ham,33,1,01:27.7,,,,,,,,29,33,,,,,,,,
abudhabi,ham,34,1,01:27.2,,,,,,,,29,34,,,,,,,,
abudhabi,ham,35,1,01:27.6,,,,,,,,29,35,,,,,,,,
abudhabi,ham,36,1,01:41.5,,,,,,,,29,36,,,,,,,,
